,url,title,description,category,location,project_id
0,https://www.kickstarter.com/projects/100349895/ananta-a-173-inch-touchscreen-portable-monitor?ref=discovery_popular,"Ananta, A 17.3-inch Touchscreen Portable Monitor","Grow your ideas on a larger touchscreen monitor! Ananta is perfect for designing, productivity-boosting and gaming.",Product Design,"Shenzhen, China",256941264
1,https://www.kickstarter.com/projects/terraplanter/terra-planter-the-inside-out-hydroponic-planter-pot?ref=discovery_popular,terraplanter - visibly follow the journey from seed to plant,Just fill with water and the plant will take only what it needs to visibly grow & flourish on the exterior surface of the planter.,Product Design,"Long Island, NY",374051904
2,https://www.kickstarter.com/projects/easybetter/easy-wash-2?ref=discovery_popular,Easy Wash 2.0 Wash and dry your clothes in 5 minutes,The manual washing machine and dryer for simple and thorough was in 5 minutes,Product Design,"New York, NY",1193350172
3,https://www.kickstarter.com/projects/instafloss/instafloss-say-bye-to-painful-time-consuming-flossing?ref=discovery_popular,Instafloss - The 10 Second Floss That Will Make You Smile,Instafloss is a multi-jet water flosser delivering an amazingly comfortable and effective flossing experience in only 10 seconds.,Hardware,"Miami, FL",748081064
4,https://www.kickstarter.com/projects/hookey/hookey-antimicrobial-silicone-patented-no-touch-tool?ref=discovery_popular,Hoo(KEY) - Antimicrobial Silicone Patented No-Touch Tool,"HooKEY is an antimicrobial, anti-scratch, super-strong tool to open doors, press buttons, etc — all contact-free & germ-free",Gadgets,"St. Charles, IL",433085097
5,https://www.kickstarter.com/projects/lumoshelmet/lumos-ultra-the-new-standard-in-bike-helmets?ref=discovery_popular,Lumos Ultra - The New Standard In Bike Helmets,"Integrated LED lighting, turn signals, and smart features to keep you safe in one sleek package.",Hardware,"Boston, MA",1774324319
6,https://www.kickstarter.com/projects/ohsnapofficial/ohsnap-grip-how-smart-people-use-smartphones?ref=discovery_popular,Ohsnap Grip: How Smart People Use Smartphones,"Super-thin grip, stand, and magnet, now compatible with snapcharge: our magnetic wireless charger.",Product Design,"Apex, NC",1158852071
7,https://www.kickstarter.com/projects/2107879482/flipo-fliptm-pocket-sized-kinetic-skill-toy?ref=discovery_popular,Flipo Flip™ — Pocket Size Kinetic Skill Toy,"An oddly satisfying desk toy that flips, rolls, and falls at the same time. Precision machined out of a solid piece of metal.",Product Design,"Toronto, Canada",1988211895
8,https://www.kickstarter.com/projects/grimworkshop/pocket-sized-plastic-bottle-rope-maker-turn-trash-into-rope?ref=discovery_popular,"Pocket Sized Plastic Bottle Rope Maker, Turn Trash Into Rope",This pocket sized tool turns a plastic bottle into over 50 feet of incredibly strong rope keeping plastic bottles out of landfills,Product Design,"Denton, TX",1709033713
9,https://www.kickstarter.com/projects/awakenrealms/nemesis-lockdown?ref=discovery_popular,Nemesis Lockdown,"Stand alone expansion to one of the biggest Board Game hit of recent years, Nemesis",Tabletop Games,"Wroclaw, Poland",1897919106
10,https://www.kickstarter.com/projects/montage/montage-designed-for-all-your-moments-of-life?ref=discovery_popular,Montage - Designed for all Your Moments of Life,Beautifully crafted eco-friendly bags to store your treasures through your journey,Product Design,"Los Angeles, CA",1706943935
11,https://www.kickstarter.com/projects/rotoq360/roto-q-360-the-non-electric-rotisserie-cooking-machine?ref=discovery_popular,ROTO-Q 360 : The Non-Electric Rotisserie Cooking Machine,"Breathe new life into your cooking appliances and start producing restaurant-quality, rotisserie-style fare in your very own home Today",Product Design,"Los Angeles, CA",1849444403
12,https://www.kickstarter.com/projects/unda-3-in-1/unda-the-3-in-1-bottle-cup-and-storage-compartment?ref=discovery_popular,"unda 3-in-1: Your Bottle, Cup and Storage Compartment",Makes Life Easier | User Friendly Design | Multifunctional | Easy to Clean | Swiss Made,Product Design,"Berlin, Germany",421037108
13,https://www.kickstarter.com/projects/napeazy/napeazy-the-essential-home-office-and-commute-pillow?ref=discovery_popular,"napEazy - The Essential Home, Office & Commute Pillow",The World’s first convertible pillow: One stop solution for correct posture while seated and taking power naps.,Product Design,"Lewes, DE",1255018306
14,https://www.kickstarter.com/projects/wilabs/goc-personal-wearable-hand-sanitizer?ref=discovery_popular,Go.C: Personal wearable hand sanitizer,"Eco-friendly, minimalistic and easy to use. Created for convenience with a push of a button. Reinvented for everyday use.",Product Design,"Sunnyvale, CA",1469797223
15,https://www.kickstarter.com/projects/beblau/flex-smart-organizer-flexible-planner-and-creative-notebook?ref=discovery_popular,"FLEX smart organizer, flexible planner & creative notebook",A planner & notebook with integrated elastic band organizer with unique design. Because ideas must be captured wherever they arise.,Product Design,"Barcelona, Spain",1238873268
16,https://www.kickstarter.com/projects/gravgrip/gravgrip-battery-free-camera-stabilization?ref=discovery_popular,GravGrip | Battery Free Camera Stabilization,"Pocket sized, Battery Free, and Waterproof! GravGrip™ is a hydraulic camera stabilizer for your Cell Phone and Action Camera.",Product Design,"Philadelphia, PA",23152778
17,https://www.kickstarter.com/projects/enigmabox/enigma-box-vol1-arcanum?ref=discovery_popular,"Enigma Box (vol.1) ""Arcanum""",This challenging campaign is based on historical events and is full of enigmas and mysteries that will test your wits.,Tabletop Games,"London, UK",1721395159
18,https://www.kickstarter.com/projects/ankamaanimations/wakfu-the-animated-series-season-4?ref=discovery_popular,Wakfu: the Animated Series - Season 4,"Discover what happens after the Brotherhood of the Tofu enters Ingloriom, the realm of the gods!",Animation,"Roubaix, France",575271961
19,https://www.kickstarter.com/projects/36768726/eila-and-something-shiny?ref=discovery_popular,Eila and Something Shiny - a replayable story-driven game!,"Overcome fear and find the way to something shiny in this ""Choose Your Path"" adventure game. Challenging and replayable for 1-3players!",Tabletop Games,"Toronto, Canada",292832566
20,https://www.kickstarter.com/projects/oyo/oyo-nova-gym?ref=discovery_popular,OYO NOVA Gym,"A FULL GYM IN YOUR HANDS: Transform your Body at Home, Office & On the Go. Lose the Weights, Keep the Resistance.",Product Design,"Kansas City, MO",142016465
21,https://www.kickstarter.com/projects/travishancock/bristol-1350-race-against-the-black-death?ref=discovery_popular,"Bristol 1350: A Medieval Game of Racing, Plague & Deceit",Be on the first cart out of town while avoiding players who are secretly infected with the plague. 20-40 minutes for 1-9 players.,Tabletop Games,"Columbus, OH",125859400
